Málaga,Deportivo de La Coruña,1,1,16/12/2001,La Rosaleda,Málaga,Téllez Sánchez
Sevilla,Valladolid,4,0,25/11/2001,Ramón Sánchez Pizjuán,Sevilla,Llonch Andreu
Alavés,Celta de Vigo,1,0,18/11/2001,Mendizorroza,Vitoria,Muñiz Fernández
Betis,Valladolid,2,0,03/02/2002,Manuel Ruiz de Lopera,n/d,Iturralde González
Mallorca,Valladolid,2,1,11/05/2002,Son Moix,Palma,Esquinas Torres
Deportivo de La Coruña,Osasuna,5,1,04/11/2001,Nuevo Riazor,La Coruña,Megía Dávila
Mallorca,Las Palmas,0,3,26/08/2001,Son Moix,Palma,Megía Dávila
Espanyol,Osasuna,1,1,07/10/2001,Olímpic Lluís Companys,Cornellá de Llobregat,Medina Cantalejo
Tenerife,Valladolid,1,5,28/04/2002,Heliodoro Rodríguez,Santa Cruz de Tenerife,López Nieto
Celta de Vigo,Valladolid,1,1,28/10/2001,Estadio de Balaídos,Vigo,Ramírez Domínguez
Betis,Celta de Vigo,4,1,24/02/2002,Manuel Ruiz de Lopera,n/d,Pérez Burrull
Rayo Vallecano,Real Sociedad,2,1,14/10/2001,Teresa Rivero,Madrid,Ansuategui Roca
Valladolid,Las Palmas,1,0,07/10/2001,Nuevo Zorrilla,Valladolid,Iturralde González
