,EquipoAnf,EquipoVis,ResulAnf,ResulVis,Fecha,Estadio,Ciudad,Arbitro,Provincia,tmed,prec
6288,Athletic Club,Deportivo de La Coruña,2,1,2017-02-11,San Mamés,Bilbao,Melero López,BIZKAIA,8.459999999999999,2.8400000000000003
6289,Osasuna,Real Madrid,1,3,2017-02-11,Estadio El Sadar,Pamplona,Iglesias Villanueva,NAVARRA,5.1499999999999995,2.9333333333333336
6290,Betis,Valencia,0,0,2017-02-11,Benito Villamarín,Sevilla,Trujillo Suárez,SEVILLA,9.76,3.4
6291,Alavés,Barcelona,0,6,2017-02-11,Mendizorrotza,Vitoria,Clos Gómez,ARABA/ALAVA,5.8,3.9000000000000004
6292,Villarreal,Málaga,1,1,2017-02-12,Estadio de la Cerámica,Villarreal,Bikandi Garrido,CASTELLON,9.775,0.8
6293,Las Palmas,Sevilla,0,1,2017-02-12,Estadio de Gran Canaria,Las Palmas de Gran Canaria,De Burgos Bengoetxea,LAS PALMAS,18.97142857142857,1.4285714285714286
6294,Atlético de Madrid,Celta de Vigo,3,2,2017-02-12,Vicente Calderón,Madrid,Hernández Hernández,MADRID,7.300000000000001,30.361538461538462
6295,Leganés,Sporting de Gijón,0,2,2017-02-12,Estadio Municipal de Butarque,Leganés,Estrada Fernández,MADRID,7.300000000000001,30.361538461538462
6296,Eibar,Granada,4,0,2017-02-13,Estadio Municipal de Ipurua,Eibar,Mateu Lahoz,GIPUZKOA,12.233333333333334,2.35
6297,Granada,Betis,4,1,2017-02-17,Estadio Nuevo Los Carmenes,Granada,Ocón Arraiz,GRANADA,10.02,0.06
6298,Deportivo de La Coruña,Alavés,0,1,2017-02-18,Estadio Municipal de Riazor,La Coruña,Jaime Latre,A CORUÑA,9.88888888888889,3.155555555555556
6299,Sporting de Gijón,Atlético de Madrid,1,4,2017-02-18,El Molinón,Gijón,González González,ASTURIAS,8.627272727272727,3.3181818181818183
6300,Real Madrid,Espanyol,2,0,2017-02-18,Estadio Santiago Bernabeu,Madrid,Undiano Mallenco,MADRID,7.800000000000002,0.6153846153846154
6301,Sevilla,Eibar,2,0,2017-02-18,Estadio Ramón Sánchez-Pizjuán,Sevilla,Álvarez Izquierdo,SEVILLA,11.280000000000001,4.3
6302,Barcelona,Leganés,2,1,2017-02-19,Camp Nou,Barcelona,Iglesias Villanueva,BARCELONA,11.5,0.0
6303,Real Sociedad,Villarreal,0,1,2017-02-19,Anoeta,San Sebastián,Hernández Hernández,GIPUZKOA,10.616666666666667,0.0
6304,Celta de Vigo,Osasuna,3,0,2017-02-19,Balaidos,Vigo,Bikandi Garrido,PONTEVEDRA,11.7,0.0
6305,Valencia,Athletic Club,2,0,2017-02-19,Camp de Mestalla,Valencia,Fernández Borbalán,VALENCIA,11.057142857142859,0.0
6306,Málaga,Las Palmas,2,1,2017-02-20,La Rosaleda,Málaga,Sánchez Martínez,MALAGA,14.64,0.04
6307,Valencia,Real Madrid,2,1,2017-02-22,Camp de Mestalla,Valencia,De Burgos Bengoetxea,VALENCIA,11.785714285714286,0.07142857142857142
6308,Las Palmas,Real Sociedad,0,1,2017-02-24,Estadio de Gran Canaria,Las Palmas de Gran Canaria,Martínez Munuera,LAS PALMAS,18.3,0.0
6309,Eibar,Málaga,3,0,2017-02-25,Estadio Municipal de Ipurua,Eibar,Estrada Fernández,GIPUZKOA,9.116666666666667,0.03333333333333333
6310,Leganés,Deportivo de La Coruña,4,0,2017-02-25,Estadio Municipal de Butarque,Leganés,Munuera Montero,MADRID,8.392307692307693,0.0
6311,Betis,Sevilla,1,2,2017-02-25,Benito Villamarín,Sevilla,Del Cerro Grande,SEVILLA,12.580000000000002,0.0
6312,Alavés,Valencia,2,1,2017-02-25,Mendizorrotza,Vitoria,Melero López,ARABA/ALAVA,8.0,0.0
6313,Sporting de Gijón,Celta de Vigo,1,1,2017-02-26,El Molinón,Gijón,De Burgos Bengoetxea,ASTURIAS,11.82727272727273,0.0
6314,Espanyol,Osasuna,3,0,2017-02-26,Power8 Stadium,Cornellá de Llobregat,Clos Gómez,BARCELONA,9.633333333333335,0.0
6315,Athletic Club,Granada,3,1,2017-02-26,San Mamés,Bilbao,Trujillo Suárez,BIZKAIA,11.6,0.0
6316,Villarreal,Real Madrid,2,3,2017-02-26,Estadio de la Cerámica,Villarreal,Gil Manzano,CASTELLON,10.325,0.0
6317,Atlético de Madrid,Barcelona,1,2,2017-02-26,Vicente Calderón,Madrid,Mateu Lahoz,MADRID,8.084615384615384,0.015384615384615385
6318,Real Sociedad,Eibar,2,2,2017-02-28,Anoeta,San Sebastián,Undiano Mallenco,GIPUZKOA,9.15,9.450000000000001
6319,Málaga,Betis,1,2,2017-02-28,La Rosaleda,Málaga,Hernández Hernández,MALAGA,15.7,0.0
6320,Valencia,Leganés,1,0,2017-02-28,Camp de Mestalla,Valencia,Bikandi Garrido,VALENCIA,14.571428571428573,0.14285714285714285
6321,Barcelona,Sporting de Gijón,6,1,2017-03-01,Camp Nou,Barcelona,Sánchez Martínez,BARCELONA,10.249999999999998,0.0
6322,Granada,Alavés,2,1,2017-03-01,Estadio Nuevo Los Carmenes,Granada,Iglesias Villanueva,GRANADA,10.8,0.02
6323,Real Madrid,Las Palmas,3,3,2017-03-01,Estadio Santiago Bernabeu,Madrid,Fernández Borbalán,MADRID,8.707692307692307,0.6615384615384615
6324,Osasuna,Villarreal,1,4,2017-03-01,Estadio El Sadar,Pamplona,González González,NAVARRA,8.58,0.0
6325,Celta de Vigo,Espanyol,2,2,2017-03-01,Balaidos,Vigo,Jaime Latre,PONTEVEDRA,11.1,5.1
6326,Deportivo de La Coruña,Atlético de Madrid,1,1,2017-03-02,Estadio Municipal de Riazor,La Coruña,Clos Gómez,A CORUÑA,11.944444444444445,12.31111111111111
6327,Sevilla,Athletic Club,1,0,2017-03-02,Estadio Ramón Sánchez-Pizjuán,Sevilla,Ocón Arraiz,SEVILLA,13.040000000000001,0.0
6328,Betis,Real Sociedad,2,3,2017-03-03,Benito Villamarín,Sevilla,Iglesias Villanueva,SEVILLA,9.760000000000002,12.1
6329,Barcelona,Celta de Vigo,5,0,2017-03-04,Camp Nou,Barcelona,Gil Manzano,BARCELONA,8.883333333333333,0.03333333333333333
6330,Villarreal,Espanyol,2,0,2017-03-04,Estadio de la Cerámica,Villarreal,De Burgos Bengoetxea,CASTELLON,8.05,0.0
6331,Eibar,Real Madrid,1,4,2017-03-04,Estadio Municipal de Ipurua,Eibar,González González,GIPUZKOA,8.500000000000002,3.216666666666667
6332,Leganés,Granada,1,0,2017-03-04,Estadio Municipal de Butarque,Leganés,Martínez Munuera,MADRID,2.838461538461538,1.669230769230769
6333,Sporting de Gijón,Deportivo de La Coruña,0,1,2017-03-05,El Molinón,Gijón,Mateu Lahoz,ASTURIAS,11.272727272727275,2.4727272727272727
6334,Athletic Club,Málaga,1,0,2017-03-05,San Mamés,Bilbao,Álvarez Izquierdo,BIZKAIA,12.1,2.0599999999999996
6335,Las Palmas,Osasuna,5,2,2017-03-05,Estadio de Gran Canaria,Las Palmas de Gran Canaria,Del Cerro Grande,LAS PALMAS,18.674999999999997,0.0
6336,Atlético de Madrid,Valencia,3,0,2017-03-05,Vicente Calderón,Madrid,Estrada Fernández,MADRID,6.515384615384615,1.9230769230769234
6337,Alavés,Sevilla,1,1,2017-03-06,Mendizorrotza,Vitoria,Trujillo Suárez,ARABA/ALAVA,11.8,0.15000000000000002
6338,Deportivo de La Coruña,Betis,1,1,2017-03-08,Estadio Municipal de Riazor,La Coruña,Álvarez Izquierdo,A CORUÑA,12.8375,0.0125
