,EquipoAnf,EquipoVis,ResulAnf,ResulVis,Fecha,Estadio,Ciudad,Arbitro,Provincia,tmed,prec
0,Deportivo de La Coruña,Athletic Club,2,0,2000-09-09,Nuevo Riazor,La Coruña,Andradas Asurmendi,A CORUÑA,20.400000000000002,0.1111111111111111
1,Barcelona,Málaga,2,1,2000-09-09,Nou Camp (Nou Camp),Barcelona,Mejuto González,BARCELONA,21.18,0.0
2,Real Sociedad,Racing de Santander,2,2,2000-09-09,Anoeta,San Sebastián,Prados García,GIPUZKOA,22.450000000000003,0.0
3,Real Madrid,Valencia,2,1,2000-09-09,Santiago Bernabéu,Madrid,Daudén Ibáñez,MADRID,24.150000000000002,0.0
4,Zaragoza,Espanyol,1,2,2000-09-09,La Romareda,Zaragoza,Turienzo Álvarez,ZARAGOZA,23.1,0.0
5,Villarreal,Rayo Vallecano,1,5,2000-09-10,El Madrigal,Villarreal,Pérez Burrull,CASTELLON,21.900000000000002,0.0
6,Mallorca,Valladolid,1,1,2000-09-10,Son Moix,Palma,Pérez Lasa,ILLES BALEARS,21.91111111111111,0.0
7,Las Palmas,Alavés,0,3,2000-09-10,Estadio Insular,Las Palmas de Gran Canaria,Puentes Leira,LAS PALMAS,22.899999999999995,0.0
8,Osasuna,Celta de Vigo,0,2,2000-09-10,El Sadar,Pamplona,Muñiz Fernández,NAVARRA,24.066666666666666,0.0
9,Numancia,Oviedo,1,0,2000-09-10,Los Pajaritos (Los Pajaritos),Soria,Undiano Mallenco,SORIA,23.3,0.0
10,Athletic Club,Barcelona,3,1,2000-09-16,San Mamés (San Mamés),Bilbao,Daudén Ibáñez,BIZKAIA,19.35,0.0
11,Racing de Santander,Deportivo de La Coruña,0,3,2000-09-16,Campos de Sport del Sardinero,Santander,Ramírez Domínguez,CANTABRIA,19.8,1.0999999999999999
12,Málaga,Real Madrid,3,3,2000-09-16,La Rosaleda,Málaga,Fernández Marín,MALAGA,23.2,0.0
13,Valladolid,Numancia,2,0,2000-09-16,Nuevo Zorrilla,Valladolid,García Aranda,VALLADOLID,19.933333333333334,0.0
14,Valencia,Mallorca,4,0,2000-09-16,Mestalla,Valencia,Llonch Andreu,VALENCIA,23.450000000000003,0.0
15,Oviedo,Las Palmas,2,2,2000-09-17,Carlos Tartiere (Carlos Tartiere),Oviedo,Medina Cantalejo,ASTURIAS,18.34,0.08
16,Espanyol,Osasuna,1,2,2000-09-17,Olímpic Lluís Companys,Cornellá de Llobregat,Losantos Omar,BARCELONA,21.325,0.25
17,Rayo Vallecano,Zaragoza,0,0,2000-09-17,Teresa Rivero,Madrid,Iturralde González,MADRID,19.37272727272727,0.05454545454545454
18,Celta de Vigo,Real Sociedad,4,1,2000-09-17,Estadio de Balaídos,Vigo,Esquinas Torres,PONTEVEDRA,18.05,0.0
19,Alavés,Villarreal,0,1,2000-09-17,Mendizorroza,Vitoria,Megía Dávila,ARABA/ALAVA,15.6,0.0
20,Barcelona,Racing de Santander,3,1,2000-09-23,Nou Camp (Nou Camp),Barcelona,Undiano Mallenco,BARCELONA,19.7,0.0
21,Real Sociedad,Deportivo de La Coruña,1,1,2000-09-23,Anoeta,San Sebastián,López Nieto,GIPUZKOA,22.975,0.0
22,Las Palmas,Valladolid,1,1,2000-09-23,Estadio Insular,Las Palmas de Gran Canaria,Prados García,LAS PALMAS,22.5,0.0
23,Real Madrid,Athletic Club,4,1,2000-09-23,Santiago Bernabéu,Madrid,Carmona Méndez,MADRID,18.45,0.0
24,Zaragoza,Alavés,2,2,2000-09-23,La Romareda,Zaragoza,Ansuategui Roca,ZARAGOZA,19.6,0.0
25,Villarreal,Oviedo,1,0,2000-09-24,El Madrigal (El Madrigal),Villarreal,Puentes Leira,CASTELLON,20.066666666666666,0.0
26,Mallorca,Málaga,0,1,2000-09-24,Son Moix,Palma,Turienzo Álvarez,ILLES BALEARS,22.177777777777774,4.966666666666667
27,Osasuna,Rayo Vallecano,2,2,2000-09-24,El Sadar,Pamplona,Bueno Grimal,NAVARRA,19.525,0.0
28,Celta de Vigo,Espanyol,1,0,2000-09-24,Estadio de Balaídos,Vigo,Rodríguez Santiago,PONTEVEDRA,15.75,0.0
29,Numancia,Valencia,0,3,2000-09-24,Los Pajaritos,Soria,Andradas Asurmendi,SORIA,17.4,0.0
30,Racing de Santander,Real Madrid,0,0,2000-09-30,Campos de Sport del Sardinero,Santander,Iturralde González,CANTABRIA,15.200000000000001,45.1
31,Deportivo de La Coruña,Barcelona,2,0,2000-10-01,Nuevo Riazor (Nuevo Riazor),La Coruña,Pérez Lasa,A CORUÑA,14.014285714285716,4.971428571428571
32,Oviedo,Zaragoza,2,1,2000-10-01,Carlos Tartiere (Carlos Tartiere),Oviedo,Llonch Andreu,ASTURIAS,14.680000000000001,4.540000000000001
33,Espanyol,Real Sociedad,1,2,2000-10-01,Olímpic Lluís Companys,Cornellá de Llobregat,Medina Cantalejo,BARCELONA,16.66,4.5
34,Athletic Club,Mallorca,2,1,2000-10-01,San Mamés,Bilbao,Muñiz Fernández,BIZKAIA,16.325,17.8
35,Rayo Vallecano,Celta de Vigo,3,0,2000-10-01,Teresa Rivero,Madrid,Ramírez Domínguez,MADRID,12.533333333333331,0.25833333333333336
36,Málaga,Numancia,1,3,2000-10-01,La Rosaleda,Málaga,Megía Dávila,MALAGA,21.1,0.0
37,Valladolid,Villarreal,0,0,2000-10-01,Nuevo Zorrilla,Valladolid,Losantos Omar,VALLADOLID,10.833333333333334,0.0
38,Valencia,Las Palmas,5,1,2000-10-01,Mestalla,Valencia,Pérez Burrull,VALENCIA,16.566666666666666,0.0
39,Alavés,Osasuna,2,0,2000-10-01,Mendizorroza,Vitoria,Mejuto González,ARABA/ALAVA,12.4,12.1
40,Espanyol,Rayo Vallecano,0,0,2000-10-14,Olímpic Lluís Companys,Cornellá de Llobregat,Fernández Marín,BARCELONA,14.280000000000001,0.0
41,Villarreal,Valencia,1,1,2000-10-14,El Madrigal,Villarreal,Carmona Méndez,CASTELLON,13.333333333333334,0.0
42,Real Sociedad,Barcelona,0,6,2000-10-14,Anoeta (Anoeta),San Sebastián,García Aranda,GIPUZKOA,12.5,17.650000000000002
43,Las Palmas,Málaga,2,1,2000-10-14,Estadio Insular,Las Palmas de Gran Canaria,Esquinas Torres,LAS PALMAS,21.25,0.03333333333333333
44,Real Madrid,Deportivo de La Coruña,3,0,2000-10-14,Santiago Bernabéu,Madrid,Turienzo Álvarez,MADRID,9.327272727272728,0.03636363636363637
45,Mallorca,Racing de Santander,2,1,2000-10-15,Son Moix,Palma,Ansuategui Roca,ILLES BALEARS,15.899999999999999,0.8
46,Osasuna,Oviedo,0,0,2000-10-15,El Sadar (El Sadar),Pamplona,Daudén Ibáñez,NAVARRA,10.9,17.75
47,Celta de Vigo,Alavés,1,1,2000-10-15,Estadio de Balaídos,Vigo,Undiano Mallenco,PONTEVEDRA,11.8,1.05
48,Numancia,Athletic Club,0,0,2000-10-15,Los Pajaritos,Soria,Bueno Grimal,SORIA,8.6,0.1
49,Zaragoza,Valladolid,0,0,2000-10-15,La Romareda,Zaragoza,Andradas Asurmendi,ZARAGOZA,10.1,1.9200000000000004
50,Deportivo de La Coruña,Mallorca,1,1,2000-10-21,Nuevo Riazor,La Coruña,Rodríguez Santiago,A CORUÑA,9.555555555555557,0.911111111111111
51,Barcelona,Real Madrid,2,0,2000-10-21,Nou Camp (Nou Camp),Barcelona,Pérez Burrull,BARCELONA,18.16,1.8800000000000001
52,Valencia,Zaragoza,1,0,2000-10-21,Mestalla,Valencia,Prados García,VALENCIA,18.45,11.05
53,Oviedo,Celta de Vigo,3,1,2000-10-22,Carlos Tartiere (Carlos Tartiere),Oviedo,López Nieto,ASTURIAS,12.099999999999998,0.52
54,Athletic Club,Las Palmas,0,3,2000-10-22,San Mamés,Bilbao,Mejuto González,BIZKAIA,17.099999999999998,0.25
55,Racing de Santander,Numancia,4,2,2000-10-22,Campos de Sport del Sardinero,Santander,Medina Cantalejo,CANTABRIA,15.299999999999999,0.0
56,Rayo Vallecano,Real Sociedad,4,1,2000-10-22,Teresa Rivero,Madrid,Puentes Leira,MADRID,14.375,0.06666666666666667
57,Málaga,Villarreal,2,1,2000-10-22,La Rosaleda,Málaga,Pérez Lasa,MALAGA,18.5,15.0
58,Valladolid,Osasuna,1,1,2000-10-22,Nuevo Zorrilla,Valladolid,Megía Dávila,VALLADOLID,12.633333333333333,0.0
59,Alavés,Espanyol,1,0,2000-10-22,Mendizorroza,Vitoria,Muñiz Fernández,ARABA/ALAVA,13.6,0.0
60,Villarreal,Athletic Club,0,0,2000-10-28,El Madrigal,Villarreal,Esquinas Torres,CASTELLON,16.7,0.0
61,Mallorca,Barcelona,2,0,2000-10-28,Son Moix (Son Moix),Palma,Fernández Marín,ILLES BALEARS,18.033333333333335,0.044444444444444446
62,Las Palmas,Racing de Santander,2,1,2000-10-28,Estadio Insular,Las Palmas de Gran Canaria,Losantos Omar,LAS PALMAS,21.549999999999997,0.0
63,Numancia,Deportivo de La Coruña,1,2,2000-10-28,Los Pajaritos,Soria,Daudén Ibáñez,SORIA,10.8,0.0
64,Zaragoza,Málaga,1,1,2000-10-28,La Romareda,Zaragoza,Carmona Méndez,ZARAGOZA,14.360000000000003,0.0
65,Espanyol,Oviedo,2,0,2000-10-29,Olímpic Lluís Companys (Olímpic Lluís Companys),Cornellá de Llobregat,Iturralde González,BARCELONA,16.68,2.52
66,Real Sociedad,Real Madrid,1,4,2000-10-29,Anoeta,San Sebastián,Ramírez Domínguez,GIPUZKOA,12.575,0.0
67,Rayo Vallecano,Alavés,0,1,2000-10-29,Teresa Rivero,Madrid,Llonch Andreu,MADRID,12.208333333333336,0.0
68,Osasuna,Valencia,1,2,2000-10-29,El Sadar,Pamplona,García Aranda,NAVARRA,12.5,0.0
69,Celta de Vigo,Valladolid,2,1,2000-10-29,Estadio de Balaídos,Vigo,Bueno Grimal,PONTEVEDRA,10.4,0.3
70,Deportivo de La Coruña,Las Palmas,4,0,2000-10-31,Nuevo Riazor,La Coruña,Ansuategui Roca,A CORUÑA,10.475,6.9125000000000005
71,Oviedo,Rayo Vallecano,4,1,2000-11-01,Carlos Tartiere (Carlos Tartiere),Oviedo,Turienzo Álvarez,ASTURIAS,11.319999999999999,8.76
72,Barcelona,Numancia,1,1,2000-11-01,Nou Camp (Nou Camp),Barcelona,Prados García,BARCELONA,12.74,0.0
73,Athletic Club,Zaragoza,1,2,2000-11-01,San Mamés,Bilbao,Undiano Mallenco,BIZKAIA,12.625,2.5
74,Racing de Santander,Villarreal,3,1,2000-11-01,Campos de Sport del Sardinero,Santander,López Nieto,CANTABRIA,13.666666666666666,1.1666666666666667
75,Real Madrid,Mallorca,0,2,2000-11-01,Santiago Bernabéu,Madrid,Puentes Leira,MADRID,7.449999999999999,2.433333333333333
76,Málaga,Osasuna,3,1,2000-11-01,La Rosaleda,Málaga,Rodríguez Santiago,MALAGA,15.8,0.0
77,Valladolid,Espanyol,1,1,2000-11-01,Nuevo Zorrilla,Valladolid,Pérez Burrull,VALLADOLID,6.099999999999999,13.433333333333335
78,Valencia,Celta de Vigo,1,0,2000-11-01,Mestalla,Valencia,Pérez Lasa,VALENCIA,13.9,0.0
79,Alavés,Real Sociedad,0,1,2000-11-01,Mendizorroza,Vitoria,Andradas Asurmendi,ARABA/ALAVA,7.9,9.0
80,Espanyol,Valencia,1,0,2000-11-04,Olímpic Lluís Companys,Cornellá de Llobregat,Ramírez Domínguez,BARCELONA,11.3,0.0
81,Villarreal,Deportivo de La Coruña,3,2,2000-11-04,El Madrigal,Villarreal,Llonch Andreu,CASTELLON,10.233333333333333,0.03333333333333333
82,Las Palmas,Barcelona,0,1,2000-11-04,Estadio Insular (Estadio Insular),Las Palmas de Gran Canaria,Iturralde González,LAS PALMAS,20.75,0.0
83,Celta de Vigo,Málaga,1,0,2000-11-04,Estadio de Balaídos,Vigo,Rodríguez Costa,PONTEVEDRA,9.65,65.85
84,Numancia,Real Madrid,3,1,2000-11-04,Los Pajaritos,Soria,Muñiz Fernández,SORIA,3.7,4.5
85,Real Sociedad,Mallorca,0,1,2000-11-05,Anoeta,San Sebastián,Megía Dávila,GIPUZKOA,13.049999999999999,28.95
86,Rayo Vallecano,Valladolid,2,1,2000-11-05,Teresa Rivero,Madrid,Medina Cantalejo,MADRID,9.091666666666667,17.175
87,Osasuna,Athletic Club,1,1,2000-11-05,El Sadar,Pamplona,Fernández Marín,NAVARRA,8.733333333333333,21.333333333333332
88,Zaragoza,Racing de Santander,2,0,2000-11-05,La Romareda,Zaragoza,Mejuto González,ZARAGOZA,7.959999999999999,11.28
89,Alavés,Oviedo,4,0,2000-11-05,Mendizorroza (Mendizorroza),Vitoria,García Aranda,ARABA/ALAVA,10.8,23.5
90,Deportivo de La Coruña,Zaragoza,2,0,2000-11-11,Nuevo Riazor,La Coruña,Esquinas Torres,A CORUÑA,7.987500000000001,7.762500000000001
91,Oviedo,Real Sociedad,1,0,2000-11-12,Carlos Tartiere (Carlos Tartiere),Oviedo,Ansuategui Roca,ASTURIAS,8.9,19.075
92,Barcelona,Villarreal,1,2,2000-11-12,Nou Camp (Nou Camp),Barcelona,Bueno Grimal,BARCELONA,15.439999999999998,0.1
93,Athletic Club,Celta de Vigo,2,1,2000-11-12,San Mamés,Bilbao,Andradas Asurmendi,BIZKAIA,14.325,21.825
94,Racing de Santander,Osasuna,0,0,2000-11-12,Campos de Sport del Sardinero,Santander,Turienzo Álvarez,CANTABRIA,13.399999999999999,11.933333333333332
95,Mallorca,Numancia,2,1,2000-11-12,Son Moix,Palma,Carmona Méndez,ILLES BALEARS,17.266666666666666,0.0
96,Real Madrid,Las Palmas,5,1,2000-11-12,Santiago Bernabéu,Madrid,Pérez Lasa,MADRID,10.5,6.7250000000000005
97,Málaga,Espanyol,0,0,2000-11-12,La Rosaleda,Málaga,Undiano Mallenco,MALAGA,16.0,0.0
98,Valladolid,Alavés,2,1,2000-11-12,Nuevo Zorrilla,Valladolid,Daudén Ibáñez,VALLADOLID,9.0,10.6
99,Valencia,Rayo Vallecano,2,2,2000-11-12,Mestalla,Valencia,Rodríguez Santiago,VALENCIA,14.86,0.45999999999999996
100,Villarreal,Real Madrid,0,1,2000-11-18,El Madrigal,Villarreal,Prados García,CASTELLON,10.0,0.0
101,Las Palmas,Mallorca,1,0,2000-11-18,Estadio Insular,Las Palmas de Gran Canaria,López Nieto,LAS PALMAS,16.933333333333334,0.0
102,Osasuna,Deportivo de La Coruña,1,1,2000-11-18,El Sadar,Pamplona,Pérez Burrull,NAVARRA,9.475,0.9750000000000001
103,Alavés,Valencia,1,1,2000-11-18,Mendizorroza,Vitoria,Medina Cantalejo,ARABA/ALAVA,9.1,0.7
104,Oviedo,Valladolid,4,1,2000-11-19,Carlos Tartiere (Carlos Tartiere),Oviedo,Ramírez Domínguez,ASTURIAS,10.639999999999999,3.2399999999999998
105,Espanyol,Athletic Club,2,1,2000-11-19,Olímpic Lluís Companys,Cornellá de Llobregat,Puentes Leira,BARCELONA,10.700000000000001,0.0
106,Real Sociedad,Numancia,4,1,2000-11-19,Anoeta,San Sebastián,Mejuto González,GIPUZKOA,11.524999999999999,11.500000000000002
107,Rayo Vallecano,Málaga,4,2,2000-11-19,Teresa Rivero,Madrid,Muñiz Fernández,MADRID,6.45,0.4083333333333334
108,Celta de Vigo,Racing de Santander,1,1,2000-11-19,Estadio de Balaídos,Vigo,Megía Dávila,PONTEVEDRA,11.0,6.800000000000001
109,Zaragoza,Barcelona,3,1,2000-11-19,La Romareda (La Romareda),Zaragoza,Losantos Omar,ZARAGOZA,9.52,0.76
110,Mallorca,Villarreal,2,1,2000-11-25,Son Moix,Palma,Daudén Ibáñez,ILLES BALEARS,14.288888888888888,0.0
111,Deportivo de La Coruña,Celta de Vigo,1,0,2000-11-26,Nuevo Riazor,La Coruña,Iturralde González,A CORUÑA,13.542857142857144,11.157142857142858
112,Barcelona,Osasuna,2,0,2000-11-26,Nou Camp (Nou Camp),Barcelona,Carmona Méndez,BARCELONA,15.299999999999999,0.1
113,Athletic Club,Rayo Vallecano,4,2,2000-11-26,San Mamés,Bilbao,Ansuategui Roca,BIZKAIA,15.166666666666666,5.833333333333333
114,Racing de Santander,Espanyol,1,2,2000-11-26,Campos de Sport del Sardinero,Santander,García Aranda,CANTABRIA,14.533333333333333,6.466666666666666
115,Málaga,Alavés,3,1,2000-11-26,La Rosaleda,Málaga,Bueno Grimal,MALAGA,18.8,0.0
116,Numancia,Las Palmas,0,1,2000-11-26,Los Pajaritos,Soria,Fernández Marín,SORIA,11.2,8.8
117,Valladolid,Real Sociedad,2,1,2000-11-26,Nuevo Zorrilla,Valladolid,Llonch Andreu,VALLADOLID,12.033333333333333,5.5
118,Valencia,Oviedo,2,0,2000-11-26,Mestalla (Mestalla),Valencia,Esquinas Torres,VALENCIA,19.316666666666666,0.0
119,Espanyol,Deportivo de La Coruña,0,2,2000-12-02,Olímpic Lluís Companys,Cornellá de Llobregat,Mejuto González,BARCELONA,12.78,0.06000000000000001
120,Rayo Vallecano,Racing de Santander,4,1,2000-12-02,Teresa Rivero,Madrid,Ramírez Domínguez,MADRID,6.966666666666666,1.5583333333333333
121,Osasuna,Real Madrid,2,3,2000-12-02,El Sadar,Pamplona,López Nieto,NAVARRA,9.450000000000001,0.4
122,Celta de Vigo,Barcelona,3,3,2000-12-02,Estadio de Balaídos (Estadio de Balaídos),Vigo,Muñiz Fernández,PONTEVEDRA,10.45,9.95
123,Valladolid,Valencia,0,0,2000-12-02,Nuevo Zorrilla,Valladolid,Puentes Leira,VALLADOLID,6.533333333333334,0.2333333333333333
124,Oviedo,Málaga,3,2,2000-12-03,Carlos Tartiere (Carlos Tartiere),Oviedo,Pérez Burrull,ASTURIAS,9.620000000000001,5.299999999999999
125,Villarreal,Numancia,0,0,2000-12-03,El Madrigal,Villarreal,Undiano Mallenco,CASTELLON,9.533333333333333,0.09999999999999999
126,Real Sociedad,Las Palmas,1,1,2000-12-03,Anoeta,San Sebastián,Turienzo Álvarez,GIPUZKOA,10.025,0.025
127,Zaragoza,Mallorca,1,1,2000-12-03,La Romareda,Zaragoza,Pérez Lasa,ZARAGOZA,6.5200000000000005,0.0
128,Alavés,Athletic Club,2,1,2000-12-03,Mendizorroza,Vitoria,Prados García,ARABA/ALAVA,4.2,0.0
129,Las Palmas,Villarreal,1,5,2000-12-09,Estadio Insular,Las Palmas de Gran Canaria,Ramírez Domínguez,LAS PALMAS,18.299999999999997,0.0
130,Numancia,Zaragoza,1,1,2000-12-09,Los Pajaritos,Soria,García Aranda,SORIA,4.9,0.5
131,Valencia,Real Sociedad,2,0,2000-12-09,Mestalla,Valencia,Bueno Grimal,VALENCIA,11.683333333333332,0.0
132,Deportivo de La Coruña,Rayo Vallecano,1,1,2000-12-10,Nuevo Riazor,La Coruña,Losantos Omar,A CORUÑA,12.379999999999999,17.54
133,Barcelona,Espanyol,4,2,2000-12-10,Nou Camp (Nou Camp),Barcelona,Daudén Ibáñez,BARCELONA,12.84,0.0
134,Athletic Club,Oviedo,4,0,2000-12-10,San Mamés (San Mamés),Bilbao,Megía Dávila,BIZKAIA,14.733333333333334,0.5333333333333333
135,Racing de Santander,Alavés,2,1,2000-12-10,Campos de Sport del Sardinero,Santander,Esquinas Torres,CANTABRIA,15.066666666666668,0.03333333333333333
136,Mallorca,Osasuna,1,1,2000-12-10,Son Moix,Palma,Medina Cantalejo,ILLES BALEARS,13.122222222222222,0.0
137,Real Madrid,Celta de Vigo,3,0,2000-12-10,Santiago Bernabéu,Madrid,Llonch Andreu,MADRID,6.425,1.325
138,Málaga,Valladolid,3,1,2000-12-10,La Rosaleda,Málaga,Iturralde González,MALAGA,13.75,0.0
139,Espanyol,Real Madrid,1,2,2000-12-16,Olímpic Lluís Companys,Cornellá de Llobregat,Carmona Méndez,BARCELONA,8.860000000000001,0.0
140,Real Sociedad,Villarreal,0,2,2000-12-16,Anoeta,San Sebastián,Rodríguez Santiago,GIPUZKOA,9.125,0.225
141,Rayo Vallecano,Barcelona,2,2,2000-12-16,Teresa Rivero (Teresa Rivero),Madrid,Undiano Mallenco,MADRID,3.766666666666666,0.0
142,Zaragoza,Las Palmas,3,1,2000-12-16,La Romareda,Zaragoza,Puentes Leira,ZARAGOZA,4.36,0.02
143,Alavés,Deportivo de La Coruña,3,1,2000-12-16,Mendizorroza,Vitoria,Fernández Marín,ARABA/ALAVA,5.4,0.0
144,Oviedo,Racing de Santander,1,0,2000-12-17,Carlos Tartiere (Carlos Tartiere),Oviedo,Pérez Lasa,ASTURIAS,7.519999999999999,1.18
145,Osasuna,Numancia,2,0,2000-12-17,El Sadar,Pamplona,Ansuategui Roca,NAVARRA,4.2,0.0
146,Celta de Vigo,Mallorca,2,2,2000-12-17,Estadio de Balaídos,Vigo,Turienzo Álvarez,PONTEVEDRA,9.600000000000001,33.25
147,Valladolid,Athletic Club,0,0,2000-12-17,Nuevo Zorrilla,Valladolid,Mejuto González,VALLADOLID,2.2333333333333334,0.6333333333333333
148,Valencia,Málaga,2,0,2000-12-17,Mestalla,Valencia,Andradas Asurmendi,VALENCIA,9.183333333333332,0.0
149,Real Madrid,Rayo Vallecano,3,1,2000-12-19,Santiago Bernabéu,Madrid,Mejuto González,MADRID,5.20909090909091,0.0
150,Deportivo de La Coruña,Oviedo,3,0,2000-12-20,Nuevo Riazor (Nuevo Riazor),La Coruña,Prados García,A CORUÑA,10.712499999999999,3.1
151,Barcelona,Alavés,3,2,2000-12-20,Nou Camp (Nou Camp),Barcelona,Ramírez Domínguez,BARCELONA,10.02,2.2199999999999998
152,Athletic Club,Valencia,1,1,2000-12-20,San Mamés,Bilbao,Pérez Burrull,BIZKAIA,12.1,0.0
153,Racing de Santander,Valladolid,2,2,2000-12-20,Campos de Sport del Sardinero,Santander,Muñiz Fernández,CANTABRIA,14.233333333333334,0.0
154,Villarreal,Zaragoza,1,1,2000-12-20,El Madrigal,Villarreal,Megía Dávila,CASTELLON,8.4,0.03333333333333333
155,Mallorca,Espanyol,3,2,2000-12-20,Son Moix,Palma,Losantos Omar,ILLES BALEARS,12.133333333333333,0.3888888888888889
156,Las Palmas,Osasuna,3,2,2000-12-20,Estadio Insular,Las Palmas de Gran Canaria,Llonch Andreu,LAS PALMAS,17.633333333333333,0.16666666666666666
157,Málaga,Real Sociedad,3,0,2000-12-20,La Rosaleda,Málaga,Daudén Ibáñez,MALAGA,10.85,1.05
158,Numancia,Celta de Vigo,4,2,2000-12-20,Los Pajaritos,Soria,Esquinas Torres,SORIA,3.2,0.0
159,Málaga,Athletic Club,2,1,2001-01-06,La Rosaleda,Málaga,García Aranda,MALAGA,13.62857142857143,2.357142857142857
160,Oviedo,Barcelona,2,3,2001-01-07,Carlos Tartiere (Carlos Tartiere),Oviedo,Rodríguez Santiago,ASTURIAS,5.357142857142856,5.871428571428571
161,Espanyol,Numancia,2,0,2001-01-07,Olímpic Lluís Companys,Cornellá de Llobregat,López Nieto,BARCELONA,7.0,0.0
162,Real Sociedad,Zaragoza,1,1,2001-01-07,Anoeta,San Sebastián,Medina Cantalejo,GIPUZKOA,7.949999999999999,14.9
163,Rayo Vallecano,Mallorca,2,2,2001-01-07,Teresa Rivero,Madrid,Bueno Grimal,MADRID,3.927272727272728,0.0
164,Osasuna,Villarreal,1,0,2001-01-07,El Sadar,Pamplona,Puentes Leira,NAVARRA,6.3,6.050000000000001
165,Celta de Vigo,Las Palmas,0,1,2001-01-07,Estadio de Balaídos,Vigo,Carmona Méndez,PONTEVEDRA,6.800000000000001,0.5
166,Valladolid,Deportivo de La Coruña,3,1,2001-01-07,Nuevo Zorrilla,Valladolid,Undiano Mallenco,VALLADOLID,2.9,0.0
167,Valencia,Racing de Santander,1,0,2001-01-07,Mestalla,Valencia,Iturralde González,VALENCIA,10.850000000000001,0.08333333333333333
168,Alavés,Real Madrid,1,3,2001-01-07,Mendizorroza,Vitoria,Ansuategui Roca,ARABA/ALAVA,4.1,8.8
169,Deportivo de La Coruña,Valencia,2,0,2001-01-13,Nuevo Riazor,La Coruña,Turienzo Álvarez,A CORUÑA,8.9125,0.26249999999999996
170,Barcelona,Valladolid,3,1,2001-01-13,Nou Camp (Nou Camp),Barcelona,Megía Dávila,BARCELONA,10.1,2.82
171,Racing de Santander,Málaga,0,1,2001-01-14,Campos de Sport del Sardinero,Santander,Fernández Marín,CANTABRIA,9.200000000000001,0.0
172,Villarreal,Celta de Vigo,2,0,2001-01-14,El Madrigal,Villarreal,Daudén Ibáñez,CASTELLON,8.733333333333333,3.6
173,Real Sociedad,Athletic Club,0,2,2001-01-14,Anoeta,San Sebastián,Muñiz Fernández,GIPUZKOA,8.4,0.075
174,Mallorca,Alavés,4,3,2001-01-14,Son Moix,Palma,Pérez Burrull,ILLES BALEARS,10.955555555555556,1.4333333333333333
175,Las Palmas,Espanyol,1,0,2001-01-14,Estadio Insular,Las Palmas de Gran Canaria,Andradas Asurmendi,LAS PALMAS,16.18,0.0
176,Real Madrid,Oviedo,4,0,2001-01-14,Santiago Bernabéu (Santiago Bernabéu),Madrid,Losantos Omar,MADRID,6.145454545454545,0.14545454545454548
177,Numancia,Rayo Vallecano,0,2,2001-01-14,Los Pajaritos,Soria,Pérez Lasa,SORIA,4.2,0.4
178,Zaragoza,Osasuna,4,2,2001-01-14,La Romareda,Zaragoza,Prados García,ZARAGOZA,7.55,0.0
179,Valencia,Barcelona,0,1,2001-01-20,Mestalla (Mestalla),Valencia,López Nieto,VALENCIA,11.65,0.0
180,Oviedo,Mallorca,1,1,2001-01-21,Carlos Tartiere (Carlos Tartiere),Oviedo,García Aranda,ASTURIAS,8.066666666666665,0.0
181,Espanyol,Villarreal,2,1,2001-01-21,Olímpic Lluís Companys,Cornellá de Llobregat,Esquinas Torres,BARCELONA,7.74,0.0
182,Athletic Club,Racing de Santander,3,1,2001-01-21,San Mamés,Bilbao,Medina Cantalejo,BIZKAIA,9.333333333333334,0.19999999999999998
183,Rayo Vallecano,Las Palmas,1,1,2001-01-21,Teresa Rivero,Madrid,Daudén Ibáñez,MADRID,4.718181818181819,0.0
184,Málaga,Deportivo de La Coruña,1,3,2001-01-21,La Rosaleda,Málaga,Carmona Méndez,MALAGA,11.749999999999998,0.0
185,Osasuna,Real Sociedad,1,1,2001-01-21,El Sadar,Pamplona,Ramírez Domínguez,NAVARRA,4.766666666666667,0.0
186,Celta de Vigo,Zaragoza,1,1,2001-01-21,Estadio de Balaídos,Vigo,Ansuategui Roca,PONTEVEDRA,9.45,6.1
187,Valladolid,Real Madrid,2,2,2001-01-21,Nuevo Zorrilla,Valladolid,Bueno Grimal,VALLADOLID,2.9333333333333336,0.0
188,Alavés,Numancia,0,2,2001-01-21,Mendizorroza,Vitoria,Llonch Andreu,ARABA/ALAVA,4.8,0.0
189,Real Madrid,Zaragoza,3,0,2001-01-24,Santiago Bernabéu,Madrid,Rodríguez Santiago,MADRID,8.772727272727273,3.318181818181819
190,Espanyol,Zaragoza,5,0,2001-01-27,Olímpic Lluís Companys,Cornellá de Llobregat,Iturralde González,BARCELONA,8.86,0.2
191,Athletic Club,Deportivo de La Coruña,2,2,2001-01-27,San Mamés,Bilbao,Daudén Ibáñez,BIZKAIA,11.866666666666667,10.366666666666667
192,Málaga,Barcelona,0,0,2001-01-27,La Rosaleda (La Rosaleda),Málaga,Ansuategui Roca,MALAGA,14.485714285714286,3.0285714285714285
193,Oviedo,Numancia,3,0,2001-01-28,Carlos Tartiere (Carlos Tartiere),Oviedo,Puentes Leira,ASTURIAS,7.033333333333334,17.733333333333334
194,Racing de Santander,Real Sociedad,1,4,2001-01-28,Campos de Sport del Sardinero,Santander,Carmona Méndez,CANTABRIA,7.85,27.45
